company-domain,companyDisplayname,companyName,Column1,Column2
modernit.ch,modernIT,modernit,1,1
,MongoDB,mongodb,0,1
move-muenchen.de,MOVE Consult GmbH,move-muenchen,1,1
moviles.ch,MOViLES,moviles,1,1
mptechnology.ch,mp technology AG,mptechnology,1,1
msdconsulting.ch,MSD,msdconsulting,1,1
breitingers.ch,MST Systemtechnik AG,breitingers,1,1
mtrail.ch,mtrail,mtrail,1,1
,MuS AG,mus,0,1
,Natron Tech AG,natron,0,1
neshendra.ch,neshendra GmbH,neshendra,1,1
net-base.ch,NetBase,net-base,1,1
netcetera.ch,Netcetera,netcetera,1,2
netiva.ch,netiva GmbH,netiva,1,1
netlabs.org,netlabs.org,netlabs,1,1
,Netlight,netlight,0,1
netstyle.ch,netstyle.ch GmbH,netstyle,1,2
,Nexplore AG,nexplore,0,1
,NFQ Solutions GmbH,nfq,0,1
nhs.ch,nhs informatik,nhs,1,1
noser.com,Noser Engineering,noser,1,1
nothing.ch,Nothing GmbH,nothing,1,1
novo-bc.ch,NOVO,novo-bc,1,1
,novu,novu,0,1
,Nowhow Solutions,nowhow,0,1
nttdata.com,NTT DATA,nttdata,1,1
,NVIDIA Switzerland,nvidia,0,1
ois-net.org,OIS-Group 1 GmbH,ois-net,1,1
onq.ch,OnQ Systems GmbH,onq,1,1
openinnovation.ch,Open Innovation,openinnovation,1,1
,Open Systems,open,0,1
,openconcept,openconcept,0,1
itopia.ch,Opendata.ch,itopia,1,1
oracle.com,Oracle,oracle,1,1
organit.ch,organit,organit,1,1
,Owera ltd,owera,0,1
paranor.ch,Paranor AG,paranor,1,1
digitale-nachhaltigkeit.ch,Parlamentarische Gruppe Digitale Nachhaltigkeit,digitale-nachhaltigkeit,1,1
patcon.ch,Patcon Gmbh,patcon,1,1
,Pawlowski-Consulting GmbH ,pawlowski-consulting,0,1
pentag.ch,PENTAG,pentag,1,1
phbern.ch,PHBern,phbern,1,1
Pilawa.ch,PILAWA SA,Pilawa,1,1
dgwkvl.com,PkOSmnTuZ,dgwkvl,1,1
pmt-consulting.ch,PMT Consulting AG,pmt-consulting,1,1
post.ch,Post,post,1,5
postfinance.ch ,PostFinance,postfinance,1,2
poxoq.ch,poxoq GmbH,poxoq,1,1
processpoint.ch,Processpoint AG,processpoint,1,1
profidata.ch,Profidata Lab AG,profidata,1,1
progan.com,Progan Consulting Group,progan,1,1
promino.ch,Promino AG,promino,1,1
pulinco.com,pulinco,pulinco,1,1
puzzle.ch,Puzzle ITC,puzzle,1,1
pythonfactory.com,Pythonfactory GmbH,pythonfactory,1,1
q-perior.com,Q_PERIOR,q-perior,1,1
